id,parent_id,parent_name,name
2,1,"""Частный корреспондент""",00021 Школа злословия
3,1,"""Частный корреспондент""",00022 Последнее восстание в Сеуле
4,1,"""Частный корреспондент""",00023 За кота - ответишь!
5,1,"""Частный корреспондент""",00024 Быстротечный кинороман
6,1,"""Частный корреспондент""",00014 Холодная ванна возвращает силы
7,1,"""Частный корреспондент""",00031 Рецессия в Латвии и Эстонии
9,1,"""Частный корреспондент""",06037 100 дней Обамы: iТоги
10,1,"""Частный корреспондент""",01961 100 миллиардов может и не хватить
11,1,"""Частный корреспондент""",06106 100 тысяч заложников АвтоВАЗа
12,1,"""Частный корреспондент""",04713 10 лет преступной ошибке
13,1,"""Частный корреспондент""",04125 10 марта 2009 года: где дно?
14,1,"""Частный корреспондент""","15644 Десять заводов, которые изменили город"
15,1,"""Частный корреспондент""",01284 120 тысяч за фотографию
16,1,"""Частный корреспондент""",05258 127 писем о любви
17,1,"""Частный корреспондент""",05876 12 миллионов беспризорных интернетчиц
18,8,Википедия,Петербургская фонологическая школа
19,1,"""Частный корреспондент""","20487 Пейзаж, нарисованный Павичем"
20,1,"""Частный корреспондент""",22676 10% активных чудаков
21,8,Википедия,"Андерсон, Анна"
22,1,"""Частный корреспондент""",22105 11%
23,1,"""Частный корреспондент""",15130 12 февраля. Первый день. Прыжки с трамплина
24,1,"""Частный корреспондент""",17735 Попавшие под консоль
25,1,"""Частный корреспондент""","21683 ""15-58"" Химкинская история"
26,1,"""Частный корреспондент""",21539 Подъём с колен
27,1,"""Частный корреспондент""",06350 15 из 25 имеют шансы на победу
28,1,"""Частный корреспондент""",02262 15 трендов в музыке 2008 года
29,1,"""Частный корреспондент""",04513 17 марта 2009 года: где дно?
30,1,"""Частный корреспондент""",04986 1 апреля еще не закончилось
31,1,"""Частный корреспондент""",14270 Самый глобальный заговор
32,1,"""Частный корреспондент""","02324 2008-й — год, когда наука снова стала интересной"
33,1,"""Частный корреспондент""",18680 Хемингуэй: перевод с американского
35,1,"""Частный корреспондент""","21759 2001-2010-й: книги, которые потрясали"
36,1,"""Частный корреспондент""",06980 2+3=6
37,1,"""Частный корреспондент""",02762 2478 долларов на каждого россиянина
38,1,"""Частный корреспондент""",01321 24 буквы в секунду
39,1,"""Частный корреспондент""",03480 251 монополист
40,1,"""Частный корреспондент""",13795 25 легальных способов изменить состояние сознания
41,1,"""Частный корреспондент""",21725 Прирастать бывшим СССР
42,1,"""Частный корреспондент""",18704 282-я за френдленту
43,1,"""Частный корреспондент""",21716 Дэн Браун: код как символ
44,1,"""Частный корреспондент""",18801 Хитрость духа
45,1,"""Частный корреспондент""","21721 Дзига Вертов. Ловец звуков, или Доктор Франкенштейн"
46,1,"""Частный корреспондент""",05811 32 мая никому не нужно
47,1,"""Частный корреспондент""",07623 31-й юбилейный
48,1,"""Частный корреспондент""",09450 30 тыс. рублей за квадратный метр. Ура?
49,1,"""Частный корреспондент""",20033 400 самых богатых американцев
50,8,Википедия,107-мм дивизионная пушка образца 1940 года (М-60)
51,8,Википедия,Кольца Урана
52,1,"""Частный корреспондент""",18588 40 дней печатной прессы
53,8,Википедия,Обыкновенная гага
54,1,"""Частный корреспондент""",09109 3 в 1. Жажда
55,1,"""Частный корреспондент""","02760 44-й, пошел!"
57,56,Викиновости,С последнего альбома Rammstein сняты все запреты
58,56,Викиновости,Встреча с послом Италии в миде Грузии
59,56,Викиновости,Арестованы лжепотомки Соломона II
60,56,Викиновости,Исландия готовится стать информационным оффшором
61,56,Викиновости,Всемирный день вязания в Бенрате
62,56,Викиновости,Россия заняла 80 место в рейтинге «провальных стран»
63,56,Викиновости,Украинский Интернет вырос на 20%
64,1,"""Частный корреспондент""",04702 24 марта 2009 года: где дно?
65,1,"""Частный корреспондент""",19530 Даже не думай
66,1,"""Частный корреспондент""",00543 52 героя от стартапов
67,1,"""Частный корреспондент""",15936 70 лет ещё не срок
68,8,Википедия,Манчестер Юнайтед
69,1,"""Частный корреспондент""",17157 Подвески королевы
70,1,"""Частный корреспондент""",13634 80 лет национальной трагедии
71,1,"""Частный корреспондент""",22642 80 млн интернетчиков — к концу 2014 года
72,1,"""Частный корреспондент""",22512 8 Марта как Юрьев день
73,56,Викиновости,Яндекс начал работать на татарском
74,56,Викиновости,Медведев напомнил министрам про Линукс
75,1,"""Частный корреспондент""",04767 Анастасия Львова: «Википедия» по-русски перейдет на СС вместе с остальными языковыми разделами
76,56,Викиновости,Сапсан поехал до Нижнего Новгорода
77,56,Викиновости,Жеребьевка предварительных групп ЧМ-2006 по футболу
78,56,Викиновости,Европейский союз угрожает штрафами концерну Microsoft
79,8,Википедия,Фри-джаз
80,1,"""Частный корреспондент""",01880 Адаптация в Эквадоре
81,1,"""Частный корреспондент""",17152 Аборигенский рок. Часть I. Истоки
82,56,Викиновости,Запущен первый спутник для навигационной системы Галилео
83,56,Викиновости,Сергей Рублевский - чемпион России
84,1,"""Частный корреспондент""",00659 Акунин как мистер Хайд
85,1,"""Частный корреспондент""",19365 Актуальный Трифонов
86,1,"""Частный корреспондент""",01907 А. Беляев-Гинтовт: «Сталинская архитектура — это эманация Солнца!»
87,1,"""Частный корреспондент""",03503 Афганские уроки
88,1,"""Частный корреспондент""",03833 А Гордон все-таки не Кихот
89,56,Викиновости,ICANN все-таки разрешила домен .xxx
90,56,Викиновости,МВД пообещало проверить предполагаемого виновника смерти Магнитского
91,56,Викиновости,Исламисты Сомали запрещают праздновать 50-летие независимости страны
92,56,Викиновости,В Аргентине стартовало ралли «Дакар 2011»
93,56,Викиновости,В Вашингтоне готовилась эвакуация из правительственных зданий
94,8,Википедия,Самоа
95,1,"""Частный корреспондент""",20202 Агония поместной Москвы
96,1,"""Частный корреспондент""",16166 Акира Куросава — путь самурая
97,1,"""Частный корреспондент""",19860 75% пользователей относятся к рекламе на YouTube хорошо
98,56,Викиновости,Эстония перешла на Евро
99,56,Викиновости,Нефтяная труба через Сибирь
100,56,Викиновости,Московская милиция разогнала митинг против Лужкова
101,1,"""Частный корреспондент""",09919 А кому книги по байтам?
102,1,"""Частный корреспондент""",08172 Альдо Нове. No future XXI века
103,1,"""Частный корреспондент""",21876 Эдгар По. Гений открытия
104,56,Викиновости,Землетрясение в Чили
105,56,Викиновости,Конец света 21 мая 2011 года не наступил
106,56,Викиновости,Иудеи громят евреев в Иерусалиме
107,56,Викиновости,Кровопролитие в Сирии затронуло Ливан
108,56,Викиновости,Ливия: повстанцы освободили французов
109,56,Викиновости,В Исландии проснулся ещё один вулкан
110,1,"""Частный корреспондент""",02420 Актуальность Дарвина
111,56,Викиновости,В Тунисе произошёл государственный переворот
112,1,"""Частный корреспондент""",09418 Абхазский месяц август
113,1,"""Частный корреспондент""",09042 Абсолютное бесполезное оружие
114,56,Викиновости,Яндекс перевёл пользователей на новую версию почты
115,56,Викиновости,Государственный китайский банк впервые покупает банк в США
116,1,"""Частный корреспондент""",05462 Ад — это не Алла
117,56,Викиновости,Президенты США и Франции беседуют в Белом доме
118,56,Викиновости,Финансирование Теватрона будет остановлено
119,1,"""Частный корреспондент""","12824 86 снов, вызванных полётом пчелы вокруг граната за секунду до пробуждения"
120,1,"""Частный корреспондент""","15199 Абхазия, вернувшаяся из небытия"
121,1,"""Частный корреспондент""","18889 Абсурд, ещё абсурд "
122,1,"""Частный корреспондент""","10930 А бойтесь единственно только того, кто скажет: «Я знаю, как надо!»"
123,8,Википедия,Wish You Were Here
124,56,Викиновости,Аризонский стрелок предстал перед судом
125,56,Викиновости,Старейшей в мире кошке исполнилось 39 лет
126,56,Викиновости,Трагический инцидент в Грузии
127,56,Викиновости,ООН не исключает глобального голода
128,56,Викиновости,Исследователи не обнаружили прямой связи между чёрными дырами и тёмной материей
129,56,Викиновости,Венесуэла и Куба в одной связке
130,1,"""Частный корреспондент""",16304 Айпадно!
131,56,Викиновости,Диоксин в курятине
132,1,"""Частный корреспондент""",00682 Адмирал с «Титаника»
133,1,"""Частный корреспондент""",18305 Ад на Ленинградке
134,1,"""Частный корреспондент""",12329 Активная пассивность
135,1,"""Частный корреспондент""",20276 Африка — это Россия начала 90-х
136,1,"""Частный корреспондент""","01968 Александр Гордон: «Я не такой умный, как кажусь»"
137,56,Викиновости,В Ивано-Франковске с 1 февраля 2011 придется платить туристический сбор?
138,1,"""Частный корреспондент""",15943 Африканская дуга нестабильности
139,1,"""Частный корреспондент""",03135 Аферисты в поисках безработных
140,1,"""Частный корреспондент""","10201 Ах, какой был мужчина…"
141,56,Викиновости,В результате столкновений в Албании погибли три человека
142,56,Викиновости,Премьер-министр Турции побывал в Киеве
143,56,Викиновости,В Иране запрещают «неприличную» музыку
144,56,Викиновости,Второй тур президентских выборов в Финляндии
145,56,Викиновости,Фернандо Алонсо на пути к новому чемпионскому титулу - новая победа в Монако
146,56,Викиновости,Контрабанда водки по трубопроводу
147,56,Викиновости,В Москве прошли акции памяти Егора Свиридова
148,1,"""Частный корреспондент""",09407 Александр Иличевский: «Никогда не встретимся…»
149,56,Викиновости,Владимир Якунин не будет наследником Путина
150,56,Викиновости,Скончался Давид Бронштейн
151,56,Викиновости,Всё больше журналистов попадают за решётку
152,56,Викиновости,Космическое сотрудничество Китая и России
153,1,"""Частный корреспондент""",00461 Актуальный lifestyle
154,56,Викиновости,Саакашвили лидирует на президентских выборах в Грузии
155,56,Викиновости,Альбина Ахатова возвращается в биатлон
156,56,Викиновости,Год России в Болгарии торжественно открыт
157,56,Викиновости,Проблемы со здоровьем на орбите
158,56,Викиновости,Европа против Блэра
159,56,Викиновости,Москва распрощалась с Ленинградским вокзалом?
160,56,Викиновости,Рустам Минниханов вступил в должность президента Татарстана
161,56,Викиновости,Дмитрий Медведев предложил ужесточить ответственность для пособников террористов
162,56,Викиновости,Новый домен для Азии
163,56,Викиновости,Жизнь телескопа Хаббл будет продлена до 2013 года
164,56,Викиновости,Шотландия хочет независимости
165,56,Викиновости,Строительство базы на Луне
166,1,"""Частный корреспондент""","12999 Адольф Мишуев: «Террористам не хватило трёх секунд, и они будут совершенствоваться»"
167,1,"""Частный корреспондент""",12068 Агрессия уродства
